time,.gaze_point_3d.x,.gaze_point_3d.y,.gaze_point_3d.z,.norm_pos.x,.norm_pos.y,.norm_pos.z,.gaze_normals_3d_left.x,.gaze_normals_3d_left.y,.gaze_normals_3d_left.z,.gaze_normals_3d_right.x,.gaze_normals_3d_right.y,.gaze_normals_3d_right.z,.eye_centers_3d_left.x,.eye_centers_3d_left.y,.eye_centers_3d_left.z,.eye_centers_3d_right.x,.eye_centers_3d_right.y,.eye_centers_3d_right.z,.pupil_confidence,.calib_rotation,.label,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id
2023/03/01/16:59:30.501944,2373.5997352845143,8.430560584092175,96.34671910928594,0.4923370992915313,0.4927997940074442,0.0,0.9999116167011629,-0.013160617698550585,0.0018859819350856843,0.9964439100362731,-0.08143059785379714,0.021646983272432335,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.865906530049644,0.0,0,2,1677550613,463495016,gaze
2023/03/01/16:59:30.697484,3606.611646083703,-58.492400177283734,327.5225700382946,0.5045653886224326,0.5477928253424993,0.0,0.9988982345651276,-0.006462559280510795,0.04648174168656907,0.9959608999721127,-0.026147422854297914,0.08589643767245317,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9915448065968056,0.0,0,2,1677550613,702349901,gaze
2023/03/01/16:59:30.900474,2300.753388352413,114.04111986700953,253.74691202631416,0.46398631338393415,0.5688360865060464,0.0,0.9975733608036939,0.03436890459234398,0.06054889108766279,0.9847372843670427,0.057208307606253714,0.16437667206221898,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.7949999999999999,0.0,0,2,1677550613,929048061,gaze
2023/03/01/16:59:31.594924,4415.22074219057,261.1030989887256,321.82095900177086,0.4579899738761527,0.5281044898363193,0.0,0.9983248834187056,0.048534587516117854,0.03149318913143187,0.9902229668193263,0.06299579975192666,0.12445884941275304,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550614,491530895,gaze
2023/03/01/16:59:31.681009,6172.338549247811,280.9228207978041,234.88931212042158,0.46634158542568044,0.4899708510821329,0.0,0.9984191303557547,0.05485055645291919,0.012274224882404539,0.995801471367127,0.0522318507923984,0.07517488533988997,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550614,708647966,gaze
2023/03/01/16:59:32.877517,2456.3136024603264,86.75713906001532,37.79965639549257,0.4726361057799756,0.46504661488419197,0.0,0.9980634369794484,0.051906259918566774,-0.03427996420705787,0.9986290321574265,0.032483565807541984,0.04104721774674819,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550615,891895055,gaze
2023/03/01/16:59:33.685235,1300.530660465844,-6.93054162535654,33.97101844223219,0.497845406122391,0.47687707304391713,0.0,0.9973156969437823,0.06587066511815357,-0.03197586756337281,0.9985793707277204,-0.021011534756061094,0.04896688436305385,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.99,0.0,0,2,1677550616,720501899,gaze
2023/03/01/16:59:33.893339,1423.4971243121468,-14.214159722573386,49.89784021276854,0.5007323540500879,0.4867070661246331,0.0,0.9997324323535757,0.02112615395911218,-0.009420685712796778,0.9990875446781231,-0.019186349746733132,0.038157070805232535,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550616,897387981,gaze
2023/03/01/16:59:34.679918,10313.290861388858,292.3503481083631,603.9059660201253,0.47698287120733707,0.5125074701463248,0.0,0.9994119247155726,0.02539520744608937,0.02304101072186615,0.9965657634003068,0.026400540885764913,0.07848369677393446,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.973650577802516,0.0,0,2,1677550617,694636106,gaze
2023/03/01/16:59:34.876625,1436.838283582948,80.79016273482054,95.08341888270706,0.45976781785579945,0.5207776358902061,0.0,0.9974969200206971,0.06117356807351001,0.03546391290281703,0.9948947130140373,0.038424346068218374,0.09331709192825122,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550617,900063991,gaze
2023/03/01/16:59:35.339283,5651.540218491973,443.9847404169597,359.0638864478883,0.44601660174699254,0.5177909434808863,0.0,0.9952983890161067,0.09021913765148865,0.03523668576022124,0.9931888022645028,0.07841688593063822,0.0861788550477657,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9881841822061688,0.0,0,2,1677550618,308449983,gaze
2023/03/01/16:59:35.488604,1694.4828127105757,174.51395686370884,190.15017808077886,0.43130229860044134,0.5704695100572486,0.0,0.9925423648644558,0.09933028373387884,0.07066221538149545,0.9906256188320852,0.07031205721020822,0.11712001504617658,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9903076401068267,0.0,0,2,1677550618,542741060,gaze
2023/03/01/16:59:37.788434,477.7200001670959,-44.10326740925713,-36.588851726138074,0.5514600372481164,0.36423197608579505,0.0,0.9997725342214288,-0.020332898891297607,0.006438403461924674,0.9866688201093226,0.07172007553628584,0.1460851470518027,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.995,0.0,0,2,1677550620,673966884,gaze
2023/03/01/16:59:37.876257,4598.135479529372,-2323.541014056156,-702.9529623823852,0.7740798700001796,0.2978769621741678,0.0,0.8909344832618402,-0.44537436210691667,-0.08875485402396284,0.8773475227552193,-0.45133617778362356,-0.16296312140772673,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9635353428336086,0.0,0,2,1677550620,937280893,gaze
2023/03/01/16:59:38.276318,423.1808114054867,-38.70943540429471,45.97230045338209,0.5507881033072988,0.5667318154876628,0.0,0.9994104759752108,0.005341478104759351,0.033914143401524904,0.9854681254287068,-0.1112322012563346,0.12837433998934908,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.995,0.0,0,2,1677550621,295304059,gaze
2023/03/01/16:59:38.516219,3325.2193083098077,183.57087755927284,175.6091922434748,0.46037310392034414,0.50614532592269,0.0,0.9989102266477591,0.04277821244269459,0.01866503787113233,0.993095386524866,0.022478605909529478,0.11513585687956274,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550621,473540067,gaze
2023/03/01/16:59:38.677817,1000.8805181191248,92.34343852444687,47.87252866553227,0.43756858506034463,0.5005507529558747,0.0,0.9983307776219522,0.05107863275562417,0.026956107444596422,0.9897960111991546,0.10814873494991563,0.09277773085701063,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550621,674046993,gaze
2023/03/01/16:59:39.885501,33209.47509009033,2683.9463364907083,3218.699519354867,0.4447516572391,0.5541384539202189,0.0,0.9957773444129693,0.07503375019152483,0.05289061056606034,0.9886944140613129,0.0871585355334683,0.12201125066000629,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550622,956346988,gaze
2023/03/01/16:59:40.482049,2138.6006851649445,127.60983282277886,218.16435438918717,0.45774768696227797,0.5598089655652241,0.0,0.9940887285418252,0.08517942524532887,0.06732061572039244,0.9928602424982257,0.04094908492338107,0.11203442020335713,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550623,465418100,gaze
2023/03/01/16:59:40.692056,5612.989459515624,81.64300488617373,569.1278532527231,0.48555722064898366,0.5593094178585625,0.0,0.9958954341398465,0.04352218567851475,0.0793605923186805,0.9887651239956434,0.06351251893967849,0.13531330129672048,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.995,0.0,0,2,1677550623,752650022,gaze
2023/03/01/16:59:40.875426,2890.1743052802804,195.40712205001762,302.4259483021569,0.4528807352810168,0.5626042647036988,0.0,0.9959144727166613,0.06747619332411059,0.06001105204861548,0.9915918560914605,0.008175392745952283,0.12914624999023994,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.995,0.0,0,2,1677550623,950495004,gaze
2023/03/01/16:59:41.492020,3143.8267799035366,3.7993702835712604,217.08570328573248,0.49379148227975245,0.5240336558571287,0.0,0.9993696063510669,-0.0078015186920367685,0.03463417687503814,0.992826183367857,0.010975923735079295,0.11906174329891173,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9645971444692113,0.0,0,2,1677550624,520792007,gaze
2023/03/01/16:59:42.680558,6155.11691323205,207.090721547506,236.99442991681752,0.4736856837274244,0.4904821180153235,0.0,0.9995923546917935,0.027012904907484404,0.009242694962757841,0.9963645004304946,0.03607773058224894,0.07717628935058687,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550625,694433927,gaze
2023/03/01/16:59:43.885776,334.22256849467146,-30.48816087946424,30.621581367236846,0.550720995172423,0.5483076597722603,0.0,0.9990994713930549,0.03021391824144306,0.029788679168736704,0.9849685214485775,-0.15841964985329776,0.0688493013454845,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9493353212781044,0.0,0,2,1677550626,918653011,gaze
2023/03/01/16:59:44.480424,1267.0314881625136,-47.01716271284684,114.4081984285114,0.517468186959757,0.5471813531028652,0.0,0.9987320860740042,-0.0023473300319373294,0.05028628329862153,0.9937675312729399,-0.053485525255947915,0.09780282396629089,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550627,506264925,gaze
2023/03/01/16:59:44.681425,924.8506148400493,-35.733720488243584,117.94191188350864,0.5183246320545816,0.5875106343920584,0.0,0.997322508549602,-0.0022073952821406173,0.07309542630286633,0.990818121500391,-0.06235888991355928,0.11996173954717898,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550627,707545042,gaze
2023/03/01/16:59:46.764460,1376.3221681961738,3.96682585610027,117.61083605355151,0.49275741529343886,0.5419609110262884,0.0,0.9988811525275669,0.03582563648666565,0.0308701618966519,0.9932798371067331,-0.01177718778845882,0.11513671458321689,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,1.0,0.0,0,2,1677550629,731786966,gaze
2023/03/01/16:59:46.880908,1323.9933903412607,29.799946392531012,102.62473599839807,0.48061424296570215,0.5332685190432316,0.0,0.9614764490756865,-0.08234766103348849,-0.2622630370355735,0.9944885077862977,-0.02237504630810567,0.10243029426733485,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9154434034658715,0.0,0,2,1677550629,893415927,gaze
2023/03/01/16:59:47.495916,1273.650843992576,142.23863707079312,-11.397401401185324,0.4256338226924788,0.4382906341849029,0.0,0.9982707995876225,0.058703803214316674,-0.003045353651670246,0.9944083960191009,0.07811199622353068,0.0710665742293394,-20.0,40.00000000000001,-14.999999999999996,-20.0,-20.000000000000004,-15.0,0.9830577353009099,0.0,0,2,1677550630,469579935,gaze
