time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/03/01/16:58:32.892003,89,1677550555,970426773,imu_link,0,0,35.8868619,127.167335,71.044,"(0.40195600000000004, 0.0, 0.0, 0.0, 0.40195600000000004, 0.0, 0.0, 0.0, 1.0221210000000003)",2
2023/03/01/16:58:33.785251,90,1677550556,720510259,imu_link,0,0,35.8869738,127.1671684,70.46300000000001,"(0.393129, 0.0, 0.0, 0.0, 0.393129, 0.0, 0.0, 0.0, 0.998001)",2
2023/03/01/16:58:34.490548,91,1677550557,471645973,imu_link,0,0,35.887088999999996,127.16700309999999,69.862,"(0.385641, 0.0, 0.0, 0.0, 0.385641, 0.0, 0.0, 0.0, 0.974169)",2
2023/03/01/16:58:34.703793,92,1677550557,721514242,imu_link,0,0,35.8871281,127.1669482,69.667,"(0.383161, 0.0, 0.0, 0.0, 0.383161, 0.0, 0.0, 0.0, 0.966289)",2
2023/03/01/16:58:35.482645,93,1677550558,221008442,imu_link,0,0,35.8872073,127.1668388,69.255,"(0.378225, 0.0, 0.0, 0.0, 0.378225, 0.0, 0.0, 0.0, 0.9506249999999999)",2
2023/03/01/16:58:35.652003,94,1677550558,470924916,imu_link,0,0,35.887247599999995,127.16678449999999,69.08,"(0.37576899999999996, 0.0, 0.0, 0.0, 0.37576899999999996, 0.0, 0.0, 0.0, 0.9428409999999999)",2
2023/03/01/16:58:35.691242,95,1677550558,721402118,imu_link,0,0,35.8872882,127.1667303,68.909,"(0.37332099999999996, 0.0, 0.0, 0.0, 0.37332099999999996, 0.0, 0.0, 0.0, 0.935089)",2
2023/03/01/16:58:36.467311,96,1677550559,225799486,imu_link,0,0,35.8873702,127.1666226,68.56700000000001,"(0.36844899999999997, 0.0, 0.0, 0.0, 0.36844899999999997, 0.0, 0.0, 0.0, 0.9216)",2
2023/03/01/16:58:36.999590,97,1677550559,971457507,imu_link,0,0,35.887493899999996,127.1664615,68.06400000000001,"(0.36360899999999996, 0.0, 0.0, 0.0, 0.36360899999999996, 0.0, 0.0, 0.0, 0.9063040000000001)",2
2023/03/01/16:58:37.542835,98,1677550560,472808875,imu_link,0,0,35.8875763,127.166354,67.71600000000001,"(0.361201, 0.0, 0.0, 0.0, 0.361201, 0.0, 0.0, 0.0, 0.8987040000000002)",2
2023/03/01/16:58:37.692540,99,1677550560,723535882,imu_link,0,0,35.8876175,127.1663001,67.561,"(0.36, 0.0, 0.0, 0.0, 0.36, 0.0, 0.0, 0.0, 0.8949160000000002)",2
2023/03/01/16:58:37.890067,100,1677550560,969095039,imu_link,0,0,35.887658699999996,127.1662461,67.409,"(0.358801, 0.0, 0.0, 0.0, 0.358801, 0.0, 0.0, 0.0, 0.8892490000000001)",2
2023/03/01/16:58:38.380622,101,1677550561,223534054,imu_link,0,0,35.8876997,127.16619209999999,67.25,"(0.356409, 0.0, 0.0, 0.0, 0.356409, 0.0, 0.0, 0.0, 0.8836000000000002)",2
2023/03/01/16:58:38.816292,102,1677550561,471606124,imu_link,0,0,35.887741,127.16613819999999,67.13,"(0.355216, 0.0, 0.0, 0.0, 0.355216, 0.0, 0.0, 0.0, 0.8779690000000001)",2
2023/03/01/16:58:40.666550,103,1677550562,975986105,imu_link,0,0,35.8879905,127.16581509999999,66.352,"(0.351649, 0.0, 0.0, 0.0, 0.351649, 0.0, 0.0, 0.0, 0.8537760000000001)",2
2023/03/01/16:58:41.681475,104,1677550564,476689921,imu_link,0,0,35.8882452,127.1654997,65.644,"(0.34928099999999995, 0.0, 0.0, 0.0, 0.34928099999999995, 0.0, 0.0, 0.0, 0.835396)",2
2023/03/01/16:58:41.993803,105,1677550564,976274414,imu_link,0,0,35.8883316,127.16539739999999,65.46600000000001,"(0.34809999999999997, 0.0, 0.0, 0.0, 0.34809999999999997, 0.0, 0.0, 0.0, 0.8244640000000001)",2
2023/03/01/16:58:43.042272,106,1677550565,975402682,imu_link,0,0,35.8885062,127.16520009999999,65.205,"(0.34456899999999996, 0.0, 0.0, 0.0, 0.34456899999999996, 0.0, 0.0, 0.0, 0.8028160000000001)",2
2023/03/01/16:58:43.816432,107,1677550566,724830730,imu_link,0,0,35.888638,127.1650578,65.031,"(0.34105599999999997, 0.0, 0.0, 0.0, 0.34105599999999997, 0.0, 0.0, 0.0, 0.784996)",2
2023/03/01/16:58:43.891680,108,1677550566,977065081,imu_link,0,0,35.888681999999996,127.16501129999999,64.99,"(0.33872399999999997, 0.0, 0.0, 0.0, 0.33872399999999997, 0.0, 0.0, 0.0, 0.7779240000000001)",2
2023/03/01/16:58:44.664725,109,1677550567,471541676,imu_link,0,0,35.88877,127.1649199,64.91,"(0.33524099999999996, 0.0, 0.0, 0.0, 0.33524099999999996, 0.0, 0.0, 0.0, 0.763876)",2
2023/03/01/16:58:44.720601,110,1677550567,727075890,imu_link,0,0,35.8888138,127.1648747,64.884,"(0.33408399999999994, 0.0, 0.0, 0.0, 0.33408399999999994, 0.0, 0.0, 0.0, 0.7569)",2
2023/03/01/16:58:44.955077,111,1677550567,971303658,imu_link,0,0,35.8888576,127.1648299,64.869,"(0.332929, 0.0, 0.0, 0.0, 0.332929, 0.0, 0.0, 0.0, 0.749956)",2
2023/03/01/16:58:45.578250,112,1677550568,470930185,imu_link,0,0,35.8889451,127.16474079999999,64.845,"(0.33062500000000006, 0.0, 0.0, 0.0, 0.33062500000000006, 0.0, 0.0, 0.0, 0.7395999999999999)",2
2023/03/01/16:58:45.893706,113,1677550568,970575650,imu_link,0,0,35.8890326,127.1646524,64.82000000000001,"(0.3283290000000001, 0.0, 0.0, 0.0, 0.3283290000000001, 0.0, 0.0, 0.0, 0.7327359999999999)",2
2023/03/01/16:58:46.693218,114,1677550569,721238074,imu_link,0,0,35.8891644,127.16452129999999,64.88,"(0.33062500000000006, 0.0, 0.0, 0.0, 0.33062500000000006, 0.0, 0.0, 0.0, 0.729316)",2
2023/03/01/16:58:47.782124,115,1677550570,720962558,imu_link,0,0,35.8893408,127.1643483,64.989,"(0.33177600000000007, 0.0, 0.0, 0.0, 0.33177600000000007, 0.0, 0.0, 0.0, 0.725904)",2
2023/03/01/16:58:48.899128,116,1677550571,972863907,imu_link,0,0,35.889564299999996,127.164138,65.166,"(0.3283290000000001, 0.0, 0.0, 0.0, 0.3283290000000001, 0.0, 0.0, 0.0, 0.7140249999999999)",2
2023/03/01/16:58:49.488043,117,1677550572,470704730,imu_link,0,0,35.889653599999995,127.1640547,65.228,"(0.3283290000000001, 0.0, 0.0, 0.0, 0.3283290000000001, 0.0, 0.0, 0.0, 0.712336)",2
2023/03/01/16:58:49.688790,118,1677550572,724181742,imu_link,0,0,35.8896981,127.16401309999999,65.273,"(0.3283290000000001, 0.0, 0.0, 0.0, 0.3283290000000001, 0.0, 0.0, 0.0, 0.712336)",2
2023/03/01/16:58:50.499588,119,1677550573,471080608,imu_link,0,0,35.8898296,127.1638888,65.399,"(0.3283290000000001, 0.0, 0.0, 0.0, 0.3283290000000001, 0.0, 0.0, 0.0, 0.710649)",2
2023/03/01/16:58:50.691308,120,1677550573,721493681,imu_link,0,0,35.8898728,127.16384799999999,65.46300000000001,"(0.3283290000000001, 0.0, 0.0, 0.0, 0.3283290000000001, 0.0, 0.0, 0.0, 0.7089639999999999)",2
2023/03/01/16:58:52.691124,121,1677550575,721579178,imu_link,0,0,35.8902107,127.1635311,65.928,"(0.3294760000000001, 0.0, 0.0, 0.0, 0.3294760000000001, 0.0, 0.0, 0.0, 0.695556)",2
